"ExhTitle","StartDate","EndDate","DisplayName","Nationality","ExhibitionLength","StartYear","count","LifetimeExhibitionLength","Rank","movement","Movement"
"The Modern Drawing: 100 Works on Paper from The Museum of Modern Art","1983-10-26","1984-01-03","Charles Sheeler","American",69,1983,1,6351,16," Precisionism "," Precisionism "
"Selections from the Permanent Collection: Drawings","1984-05-17",NA,"Charles Sheeler","American",NA,1984,2,6351,16," Precisionism "," Precisionism "
"Contrasts of Form: Geometric Abstract Art, 1910–1980","1985-10-02","1986-01-07","Charles Sheeler","American",97,1985,2,6351,16," Precisionism "," Precisionism "
"A Selection of Drawings and Watercolors from the Museum Collection","1971-05-11","1971-10-19","Charles Sheeler","American",161,1971,2,6351,16," Precisionism "," Precisionism "
"The 28th Annual Exhibition of Advertising and Editorial Art of the New York Art Directors Club","1949-03-15","1949-04-17","Charles Sheeler","American",33,1949,2,6351,16," Precisionism "," Precisionism "
"American Prints: 1913–1963","1974-12-03","1975-03-03","Charles Sheeler","American",90,1974,1,6351,16," Precisionism "," Precisionism "
"In the Twenties","1975-03-21","1975-06-15","Charles Sheeler","American",86,1975,1,6351,16," Precisionism "," Precisionism "
"New York Private Collections","1948-07-20","1948-09-12","Charles Sheeler","American",54,1948,3,6351,16," Precisionism "," Precisionism "
"Summer Exhibition: New Acquisitions; Recent American Prints, 1947–1953; Katherine S. Dreier Bequest; Kuniyoshi and Spencer; Expressionism in Germany; Varieties of Realism","1953-06-23","1953-10-04","Charles Sheeler","American",103,1953,1,6351,16," Precisionism "," Precisionism "
"Color Photography","1950-05-09","1950-07-04","Charles Sheeler","American",56,1950,1,6351,16," Precisionism "," Precisionism "
"Abstraction in Photography","1951-05-01","1951-07-04","Charles Sheeler","American",64,1951,2,6351,16," Precisionism "," Precisionism "
"Then and Now","1952-08-05","1952-08-18","Charles Sheeler","American",13,1952,1,6351,16," Precisionism "," Precisionism "
"Between World Wars: Drawing in Europe and America","1976-08-20","1976-11-14","Charles Sheeler","American",86,1976,1,6351,16," Precisionism "," Precisionism "
"Manhattan Observed","1968-03-22","1968-07-01","Charles Sheeler","American",101,1968,1,6351,16," Precisionism "," Precisionism "
"American Drawings and Watercolors: A Selection from the Collection","1969-12-24","1970-03-01","Charles Sheeler","American",67,1969,1,6351,16," Precisionism "," Precisionism "
"Photo Eye of the 20s","1970-06-04","1970-09-08","Charles Sheeler","American",96,1970,1,6351,16," Precisionism "," Precisionism "
"Drawings from the Museum Collection","1966-10-31","1967-05-08","Charles Sheeler","American",189,1966,4,6351,16," Precisionism "," Precisionism "
"Artists and Writers","1978-07-10","1978-10-03","Charles Sheeler","American",85,1978,2,6351,16," Precisionism "," Precisionism "
"Art of the Twenties","1979-11-14","1980-01-22","Charles Sheeler","American",69,1979,2,6351,16," Precisionism "," Precisionism "
"Photography 1839–1937","1937-03-17","1937-04-18","Charles Sheeler","American",32,1937,4,6351,16," Precisionism "," Precisionism "
"Steichen Gallery Reinstallation","1967-10-25",NA,"Charles Sheeler","American",NA,1967,1,6351,16," Precisionism "," Precisionism "
"Painting and Sculpture from the Museum Collection","1940-10-23","1941-01-12","Charles Sheeler","American",81,1940,2,6351,16," Precisionism "," Precisionism "
"A Century of Modern Drawing, 1881–1981","1982-03-01","1982-03-16","Charles Sheeler","American",15,1982,1,6351,16," Precisionism "," Precisionism "
"Three Centuries of American Art","1938-05-24","1938-07-31","Charles Sheeler","American",68,1938,1,6351,16," Precisionism "," Precisionism "
"Painting, Sculpture, Prints","1939-05-10","1939-09-30","Charles Sheeler","American",143,1939,2,6351,16," Precisionism "," Precisionism "
"Still Life","1981-10-08","1982-01-03","Charles Sheeler","American",87,1981,1,6351,16," Precisionism "," Precisionism "
"Reinstallation of the Collection","1980-10-23",NA,"Charles Sheeler","American",NA,1980,1,6351,16," Precisionism "," Precisionism "
"Recent Acquisitions","1962-11-20","1963-01-13","Claes Oldenburg","",54,1962,1,6452,13," Pop Art "," Pop Art "
"Recent Acquisitions","1961-12-19","1962-02-25","Claes Oldenburg","",68,1961,1,6452,13," Pop Art "," Pop Art "
"Prints by Sculptors","1975-05-21","1975-09-01","Claes Oldenburg","",103,1975,2,6452,13," Pop Art "," Pop Art "
"Bookworks","1977-03-17","1977-05-30","Claes Oldenburg","",74,1977,3,6452,13," Pop Art "," Pop Art "
"Americans 1963","1963-05-22","1963-08-18","Claes Oldenburg","",88,1963,1,6452,13," Pop Art "," Pop Art "
"Contemporary Sculpture: Selections from the Collection of The Museum of Modern Art","1979-05-18","1979-08-07","Claes Oldenburg","",81,1979,3,6452,13," Pop Art "," Pop Art "
"Drawing Now: 1955–1975","1976-01-23","1976-03-09","Claes Oldenburg","",46,1976,2,6452,13," Pop Art "," Pop Art "
"Contemporary Works from the Collection: American Sculpture from the 1960s","1989-02-24","1989-09-26","Claes Oldenburg","",214,1989,4,6452,13," Pop Art "," Pop Art "
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"Claes Oldenburg","",NA,1964,2,6452,13," Pop Art "," Pop Art "
"The Modern Drawing: 100 Works on Paper from The Museum of Modern Art","1983-10-26","1984-01-03","Claes Oldenburg","",69,1983,1,6452,13," Pop Art "," Pop Art "
"Printed Art: A View of Two Decades","1980-02-13","1980-04-01","Claes Oldenburg","",48,1980,2,6452,13," Pop Art "," Pop Art "
"Words and Pictures","1981-08-20","1981-10-06","Claes Oldenburg","",47,1981,2,6452,13," Pop Art "," Pop Art "
"Art for Corporations","1978-04-17","1978-07-04","Claes Oldenburg","",78,1978,3,6452,13," Pop Art "," Pop Art "
"Works from Change, Inc.","1974-09-25","1974-10-20","Claes Oldenburg","",25,1974,2,6452,13," Pop Art "," Pop Art "
"Drawings Acquisitions","1987-01-24","1987-06-14","Claes Oldenburg","",141,1987,5,6452,13," Pop Art "," Pop Art "
"Committed to Print","1988-01-31","1988-04-19","Claes Oldenburg","",79,1988,4,6452,13," Pop Art "," Pop Art "
"A Century of Modern Drawing, 1881–1981","1982-03-01","1982-03-16","Claes Oldenburg","",15,1982,2,6452,13," Pop Art "," Pop Art "
"The 1960s: Painting and Sculpture from the Museum Collection","1967-06-28","1967-09-24","Claes Oldenburg","",88,1967,2,6452,13," Pop Art "," Pop Art "
"The Sidney and Harriet Janis Collection","1968-01-17","1968-03-04","Claes Oldenburg","",47,1968,3,6452,13," Pop Art "," Pop Art "
"Drawings: Recent Acquisitions","1969-02-18","1969-03-30","Claes Oldenburg","",40,1969,3,6452,13," Pop Art "," Pop Art "
"London/New York/Hollywood: A New Look in Prints","1966-09-13","1966-11-02","Claes Oldenburg","",50,1966,1,6452,13," Pop Art "," Pop Art "
"Works on Paper","1973-03-07","1973-06-04","Claes Oldenburg","",89,1973,2,6452,13," Pop Art "," Pop Art "
"Drawn in America","1972-03-01","1972-05-29","Claes Oldenburg","",89,1972,2,6452,13," Pop Art "," Pop Art "
"Contemporary Works from the Collection","1986-04-11","1986-10-09","Claes Oldenburg","",181,1986,3,6452,13," Pop Art "," Pop Art "
"Pop Art Prints, Drawings, and Multiples","1970-05-23","1970-08-31","Claes Oldenburg","",100,1970,4,6452,13," Pop Art "," Pop Art "
"Recent American Acquisitions","1971-02-11","1971-03-11","Claes Oldenburg","",28,1971,4,6452,13," Pop Art "," Pop Art "
"Reinstallation of the Contemporary Galleries","1985-02-15","1985-03-17","Claes Oldenburg","",30,1985,3,6452,13," Pop Art "," Pop Art "
"Selections from the Permanent Collection: Drawings","1984-05-17",NA,"Claes Oldenburg","",NA,1984,3,6452,13," Pop Art "," Pop Art "
"Sculptors' Drawings","1933-03-27","1933-05-03","Constantin Brancusi","French",37,1933,3,4629,48," Academic Art "," Academic Art "
"Recent Acquisitions","1950-01-31","1950-05-07","Constantin Brancusi","French",96,1950,2,4629,48," Academic Art "," Academic Art "
"New Acquisitions","1953-02-11","1953-03-15","Constantin Brancusi","French",32,1953,3,4629,48," Academic Art "," Academic Art "
"Recent European Acquisitions","1956-11-28","1957-01-20","Constantin Brancusi","French",53,1956,1,4629,48," Academic Art "," Academic Art "
"Thirty Sculptors' Drawings","1979-05-18","1979-06-06","Constantin Brancusi","French",19,1979,3,4629,48," Academic Art "," Academic Art "
"From the Alfred Stieglitz Collection: An Extended Loan from the Metropolitan Museum of Art","1951-05-22","1951-08-12","Constantin Brancusi","French",82,1951,2,4629,48," Academic Art "," Academic Art "
"Sculpture by Constantin Brancusi","1954-07-07","1954-08-15","Constantin Brancusi","French",39,1954,1,4629,48," Academic Art "," Academic Art "
"New York Private Collections","1948-07-20","1948-09-12","Constantin Brancusi","French",54,1948,2,4629,48," Academic Art "," Academic Art "
"Selections from the Permanent Collection: Painting and Sculpture","1984-05-17",NA,"Constantin Brancusi","French",NA,1984,3,4629,48," Academic Art "," Academic Art "
"Reinstallation of the Collection","1980-10-23",NA,"Constantin Brancusi","French",NA,1980,2,4629,48," Academic Art "," Academic Art "
"Abstraction-Création, Art Non-Figuratif","1977-09-20","1977-12-04","Constantin Brancusi","French",75,1977,1,4629,48," Academic Art "," Academic Art "
"A Treasury of Modern Drawing: The Joan and Lester Avnet Collection","1978-04-28","1978-07-04","Constantin Brancusi","French",67,1978,1,4629,48," Academic Art "," Academic Art "
"Permanent Collection","1972-03-29",NA,"Constantin Brancusi","French",NA,1972,3,4629,48," Academic Art "," Academic Art "
"Seurat to Matisse: Drawing in France","1974-06-13","1974-09-08","Constantin Brancusi","French",87,1974,1,4629,48," Academic Art "," Academic Art "
"A Century of Modern Drawing, 1881–1981","1982-03-01","1982-03-16","Constantin Brancusi","French",15,1982,2,4629,48," Academic Art "," Academic Art "
"The Modern Drawing: 100 Works on Paper from The Museum of Modern Art","1983-10-26","1984-01-03","Constantin Brancusi","French",69,1983,1,4629,48," Academic Art "," Academic Art "
"Modern Masters from European and American Collections","1940-01-26","1940-03-24","Constantin Brancusi","French",58,1940,2,4629,48," Academic Art "," Academic Art "
"New Acquisition: Brancusi, Bird in Space","1934-08-13","1934-09-13","Constantin Brancusi","French",31,1934,2,4629,48," Academic Art "," Academic Art "
"Cubism and Its Affinities","1976-02-09","1976-05-09","Constantin Brancusi","French",90,1976,1,4629,48," Academic Art "," Academic Art "
"Painting, Sculpture, Prints","1939-05-10","1939-09-30","Constantin Brancusi","French",143,1939,1,4629,48," Academic Art "," Academic Art "
"Alfred Stieglitz Exhibition: His Collection","1947-06-10","1947-08-31","Constantin Brancusi","French",82,1947,1,4629,48," Academic Art "," Academic Art "
"New Acquisitions: A Gift of Paintings from a Trustee","1941-05-06","1941-10-15","Constantin Brancusi","French",162,1941,2,4629,48," Academic Art "," Academic Art "
"Summer Exhibition: Painting and Sculpture from the Museum Collection and on Loan","1937-06-23","1937-11-04","Constantin Brancusi","French",134,1937,1,4629,48," Academic Art "," Academic Art "
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"Constantin Brancusi","French",NA,1964,1,4629,48," Academic Art "," Academic Art "
"Drawings Recently Acquired for the Museum Collection","1957-01-29","1957-02-24","Constantin Brancusi","French",26,1957,1,4629,48," Academic Art "," Academic Art "
"The Museum Collection of Sculpture","1946-02-19","1946-05-05","Constantin Brancusi","French",75,1946,2,4629,48," Academic Art "," Academic Art "
"Portraits from the Museum Collection","1960-05-04","1960-09-18","Constantin Brancusi","French",137,1960,2,4629,48," Academic Art "," Academic Art "
"Recent Acquisitions","1945-02-15","1945-03-18","Constantin Brancusi","French",31,1945,2,4629,48," Academic Art "," Academic Art "
"Drawings by Sculptors: A Selection from the Collection","1968-10-21","1969-02-02","Constantin Brancusi","French",104,1968,1,4629,48," Academic Art "," Academic Art "
"Philip L. Goodwin Collection","1958-10-08","1958-11-09","Constantin Brancusi","French",32,1958,3,4629,48," Academic Art "," Academic Art "
"Ways of Looking","1971-07-28","1971-11-01","Constantin Brancusi","French",96,1971,1,4629,48," Academic Art "," Academic Art "
"Modern Drawings","1944-02-16","1944-05-10","Constantin Brancusi","French",84,1944,3,4629,48," Academic Art "," Academic Art "
"Twentieth-Century Art from the Nelson Aldrich Rockefeller Collection","1969-05-28","1969-09-01","Constantin Brancusi","French",96,1969,2,4629,48," Academic Art "," Academic Art "
"Cubism and Abstract Art","1936-03-02","1936-04-19","Constantin Brancusi","French",48,1936,1,4629,48," Academic Art "," Academic Art "
"Summer Exhibition: The Museum Collection and a Private Collection on Loan","1935-06-04","1935-09-24","Constantin Brancusi","French",112,1935,1,4629,48," Academic Art "," Academic Art "
"Artist's Choice: Burton on Brancusi","1989-04-07","1989-07-04","Constantin Brancusi","French",88,1989,1,4629,48," Academic Art "," Academic Art "
"Sculptors' Drawings","1986-04-26","1986-09-02","Constantin Brancusi","French",129,1986,1,4629,48," Academic Art "," Academic Art "
"20th Century Sculpture and Constructions","1942-10-02","1942-10-26","Constantin Brancusi","French",24,1942,2,4629,48," Academic Art "," Academic Art "
"New Acquisitions: The Collection of Mrs. John D. Rockefeller, Jr.","1936-01-14","1936-02-16","Edward Hopper","American",33,1936,1,4669,46," Folk Art "," Folk Art "
"Modern Works of Art: 5th Anniversary Exhibition","1934-11-19","1935-01-20","Edward Hopper","American",62,1934,1,4669,46," Folk Art "," Folk Art "
"Master Prints from the Museum Collection","1949-05-10","1949-07-10","Edward Hopper","American",61,1949,1,4669,46," Folk Art "," Folk Art "
"New York Private Collections","1948-07-20","1948-09-12","Edward Hopper","American",54,1948,2,4669,46," Folk Art "," Folk Art "
"Manhattan Observed","1968-03-22","1968-07-01","Edward Hopper","American",101,1968,1,4669,46," Folk Art "," Folk Art "
"Summer Exhibition: New Acquisitions; Recent American Prints, 1947–1953; Katherine S. Dreier Bequest; Kuniyoshi and Spencer; Expressionism in Germany; Varieties of Realism","1953-06-23","1953-10-04","Edward Hopper","American",103,1953,1,4669,46," Folk Art "," Folk Art "
"American Prints: 1913–1963","1974-12-03","1975-03-03","Edward Hopper","American",90,1974,1,4669,46," Folk Art "," Folk Art "
"Painting and Sculpture from the Museum Collection","1950-08-29","1950-10-15","Edward Hopper","American",47,1950,1,4669,46," Folk Art "," Folk Art "
"The Museum Collection of Painting","1946-02-19","1946-05-05","Edward Hopper","American",75,1946,2,4669,46," Folk Art "," Folk Art "
"The Taste of a Connoisseur: The Paul J. Sachs Collection","1966-12-21","1967-03-05","Edward Hopper","American",74,1966,1,4669,46," Folk Art "," Folk Art "
"Art of the Twenties","1979-11-14","1980-01-22","Edward Hopper","American",69,1979,1,4669,46," Folk Art "," Folk Art "
"Painting and Sculpture from the Museum Collection","1969-04-28","1969-11-04","Edward Hopper","American",190,1969,3,4669,46," Folk Art "," Folk Art "
"Masterworks Acquired through the Mrs. Simon Guggenheim Fund","1952-01-29","1952-03-23","Edward Hopper","American",54,1952,3,4669,46," Folk Art "," Folk Art "
"Works on Paper","1973-03-07","1973-06-04","Edward Hopper","American",89,1973,1,4669,46," Folk Art "," Folk Art "
"Summer Exhibition: Painting and Sculpture","1930-06-15","1930-09-28","Edward Hopper","American",105,1930,1,4669,46," Folk Art "," Folk Art "
"Summer Exhibition: Painting and Sculpture","1932-06-07","1932-10-30","Edward Hopper","American",145,1932,2,4669,46," Folk Art "," Folk Art "
"Drawn in America","1972-03-01","1972-05-29","Edward Hopper","American",89,1972,2,4669,46," Folk Art "," Folk Art "
